numid,plant.genus,plant.species,frug.taxon,frug.genus,frug.species,"germ effect (pos, neg, no, NA)","rate effect (pos, neg, no, NA)",compare against,fleshy fruit? (yes or no),gut passed prop germ,no germ,gut passed sample size,comparison prop germ,no germ,comparison sample size,notes about proportion and sample size,requests for help,help assigned to,notes,name,name2
4,Acacia,aroma,non-flying mammal other than primate,Bos,tauros,pos,NA,mechanically cleaned fruit,?,0.7145,0.2855,120,0.0667,0.9333,120,indehiscent pod; non-scarified seeds for both gut and control; 3 trials of 40 seeds in each treatment,,,,Alex,AMG
4,Acacia,atramentaria,non-flying mammal other than primate,Bos,tauros,no,NA,mechanically cleaned fruit,?,0,1,120,0.0167,0.9833,120,indehiscent pod; non-scarified seeds for both gut and control; 3 trials of 40 seeds in each treatment,,,,Alex,AMG
4,Acacia,caven,non-flying mammal other than primate,Bos,tauros,no,NA,mechanically cleaned fruit,?,0,1,120,0.0167,0.9833,120,indehiscent pod; non-scarified seeds for both gut and control; 3 trials of 40 seeds in each treatment,,,,Alex,AMG
4,Acacia,aroma,non-flying mammal other than primate,Bos,tauros,pos,NA,mechanically cleaned fruit,?,1,0,120,0.9644,0.0356,120,indehiscent pod; scarified seeds for both gut and control; 3 trials of 40 seeds each treatment,,,,Alex,AMG
4,Acacia,atramentaria,non-flying mammal other than primate,Bos,tauros,no,NA,mechanically cleaned fruit,?,0.8833,0.1167,120,0.8814,0.1186,120,indehiscent pod; scarified seeds for both gut and control; 3 trials of 40 seeds each treatment,,,,Alex,AMG
4,Acacia,caven,non-flying mammal other than primate,Bos,tauros,no,NA,mechanically cleaned fruit,?,1,0,120,1,0,120,indehiscent pod; scarified seeds for both gut and control; 3 trials of 40 seeds each treatment,,,,Alex,AMG
76,Campomanesia,sp.,non-flying mammal other than primate,Chrysocyon,brachyurus,no,NA,mechanically cleaned fruit,yes,0.77,0.23,18,0.97,0.03,34,,,,locality PNSC,Alex,Evan
76,Campomanesia,pubescens,non-flying mammal other than primate,Chrysocyon,brachyurus,no,NA,mechanically cleaned fruit,yes,0.975,0.025,120,0.99,0.01,120,,,,locality EEJA,Alex,Evan
76,Campomanesia,pubescens,non-flying mammal other than primate,Chrysocyon,brachyurus,no,NA,mechanically cleaned fruit,yes,0.98,0.02,50,1,0,50,,,,locality EEJA,Alex,Evan
76,Campomanesia,pubescens,non-flying mammal other than primate,Chrysocyon,brachyurus,no,NA,mechanically cleaned fruit,yes,0.75,0.25,65,1,0,65,,,,locality EASB,Alex,Evan
76,Campomanesia,pubescens,non-flying mammal other than primate,Chrysocyon,brachyurus,neg,NA,mechanically cleaned fruit,yes,0,1,50,0.98,0.02,50,,,,locality EASB,Alex,Evan
76,Duguetia,furfuracea,non-flying mammal other than primate,Chrysocyon,brachyurus,neg,NA,mechanically cleaned fruit,yes,0.175,0.825,40,0.4,0.6,40,,,,locality EEJA,Alex,Evan
76,Duguetia,furfuracea,non-flying mammal other than primate,Chrysocyon,brachyurus,no,NA,mechanically cleaned fruit,yes,0.14,0.86,50,0.22,0.78,50,,,,locality EEJA,Alex,Evan
76,Melancium,campestre,non-flying mammal other than primate,Chrysocyon,brachyurus,no,NA,mechanically cleaned fruit,yes,0.452,0.548,147,0.542,0.458,147,,,,locality PFSP,Alex,Evan
76,Psidium,guajava,non-flying mammal other than primate,Chrysocyon,brachyurus,no,NA,mechanically cleaned fruit,yes,0.97,0.03,800,0.95,0.05,800,,,,locality FFOR,Alex,Evan
76,Solanum,sisymbriifolium,non-flying mammal other than primate,Chrysocyon,brachyurus,pos,NA,mechanically cleaned fruit,yes,0.107,0.893,300,0.023,0.977,300,,,,locality EITA,Alex,Evan
76,Solanum,crinitum,non-flying mammal other than primate,Chrysocyon,brachyurus,pos,NA,mechanically cleaned fruit,yes,0.52,0.48,100,0.31,0.69,100,,,,locality EEJA,Alex,Evan
76,Solanum,crinitum,non-flying mammal other than primate,Chrysocyon,brachyurus,pos,NA,mechanically cleaned fruit,yes,0.033,0.967,720,0.001,0.999,720,,,,locality EEJA,Alex,Evan
76,Solanum,crinitum,non-flying mammal other than primate,Chrysocyon,brachyurus,no,NA,mechanically cleaned fruit,yes,0.177,0.823,180,0.16,0.84,180,,,,locality EEJA,Alex,Evan
76,Solanum,lycocarpum,non-flying mammal other than primate,Chrysocyon,brachyurus,pos,NA,mechanically cleaned fruit,yes,0.089,0.911,180,0.122,0.878,180,,,,locality PFSP,Alex,Evan
76,Solanum,lycocarpum,non-flying mammal other than primate,Chrysocyon,brachyurus,pos,NA,mechanically cleaned fruit,yes,0.5,0.5,40,0.225,0.775,40,,,,locality UFSC,Alex,Evan
